PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
4415,1186,Belltown Cottage Park,2512 Elliott Ave,98121,-122.350776,47.613889,"{'longitude': '-122.350776', 'needs_recoding': False, 'latitude': '47.613889'}"
346,1290,Belmont Place,703 Belmont Pl E,98102,-122.324408,47.625727,"{'longitude': '-122.324408', 'needs_recoding': False, 'latitude': '47.625727'}"
447,1188,Belvedere Park,3600 SW Admiral Way,98126,-122.376896,47.580673,"{'longitude': '-122.376896', 'needs_recoding': False, 'latitude': '47.580673'}"
475,1189,Belvoir Place,3659 42nd Ave NE,98105,-122.283215,47.655124,"{'longitude': '-122.283215', 'needs_recoding': False, 'latitude': '47.655124'}"
436,1077,Benefit Playground,9320 38th Ave S,98118,-122.284294,47.518998,"{'longitude': '-122.284294', 'needs_recoding': False, 'latitude': '47.518998'}"
4245,1190,Benvenuto Viewpoint,1401 23rd Ave S,98122,-122.303029,47.589841,"{'longitude': '-122.303029', 'needs_recoding': False, 'latitude': '47.589841'}"
253,1191,Bergen Place,5420 22nd Ave NW,98107,-122.384495,47.66833,"{'longitude': '-122.384495', 'needs_recoding': False, 'latitude': '47.66833'}"
304,1193,Bhy Kracke Park,1215 5th Ave N,98109,-122.348403,47.630426,"{'longitude': '-122.348403', 'needs_recoding': False, 'latitude': '47.630426'}"
288,1113,Bitter Lake Playfield,13035 Linden Ave N,98133,-122.349314,47.724209,"{'longitude': '-122.349314', 'needs_recoding': False, 'latitude': '47.724209'}"
4450,1194,Bitter Lake Reservoir Open Space,14201 Linden Ave N,98133,-122.348583,47.731181,"{'longitude': '-122.348583', 'needs_recoding': False, 'latitude': '47.731181'}"
3907,1196,Blaine Place,513 W Olympic Pl,98119,-122.364152,47.626809,"{'longitude': '-122.364152', 'needs_recoding': False, 'latitude': '47.626809'}"
4418,1198,Blue Dog Pond,1520 26th Ave S,98144,-122.297814,47.589982,"{'longitude': '-122.297814', 'needs_recoding': False, 'latitude': '47.589982'}"
238,1199,Blue Ridge Circle,1851 NW Blue Ridge Dr,98117,-122.380095,47.70439,"{'longitude': '-122.380095', 'needs_recoding': False, 'latitude': '47.70439'}"
239,1200,Blue Ridge Place,Radford Ave NW & NW Milford Way,98117,-122.381171,47.703423,"{'longitude': '-122.381171', 'needs_recoding': False, 'latitude': '47.703423'}"
348,0,Boren Place,321 Broadway,98122,-122.320952,47.604999,"{'longitude': '-122.320952', 'needs_recoding': False, 'latitude': '47.604999'}"
